89P :acc 0.7796 , nmi 0.5692 , ari 0.5792 , f1 0.6513
90Q :acc 0.8051 , nmi 0.5919 , ari 0.6096 , f1 0.6440
90Z :acc 0.6889 , nmi 0.3548 , ari 0.3991 , f1 0.6167
90P :acc 0.7795 , nmi 0.5695 , ari 0.5793 , f1 0.6516
91Q :acc 0.8052 , nmi 0.5922 , ari 0.6100 , f1 0.6442
91Z :acc 0.6891 , nmi 0.3554 , ari 0.3993 , f1 0.6171
91P :acc 0.7791 , nmi 0.5692 , ari 0.5786 , f1 0.6513
92Q :acc 0.8051 , nmi 0.5920 , ari 0.6099 , f1 0.6441
92Z :acc 0.6890 , nmi 0.3557 , ari 0.3994 , f1 0.6169
92P :acc 0.7791 , nmi 0.5696 , ari 0.5790 , f1 0.6514
93Q :acc 0.8048 , nmi 0.5915 , ari 0.6093 , f1 0.6439
93Z :acc 0.6886 , nmi 0.3560 , ari 0.3994 , f1 0.6165
93P :acc 0.7792 , nmi 0.5705 , ari 0.5794 , f1 0.6516
94Q :acc 0.8046 , nmi 0.5913 , ari 0.6088 , f1 0.6438
94Z :acc 0.6889 , nmi 0.3569 , ari 0.4004 , f1 0.6167
94P :acc 0.7792 , nmi 0.5707 , ari 0.5795 , f1 0.6516
95Q :acc 0.8044 , nmi 0.5910 , ari 0.6086 , f1 0.6437
95Z :acc 0.6887 , nmi 0.3565 , ari 0.3999 , f1 0.6163
95P :acc 0.7791 , nmi 0.5708 , ari 0.5794 , f1 0.6516
96Q :acc 0.8043 , nmi 0.5908 , ari 0.6085 , f1 0.6436
96Z :acc 0.6888 , nmi 0.3568 , ari 0.4002 , f1 0.6163
96P :acc 0.7787 , nmi 0.5704 , ari 0.5790 , f1 0.6514
97Q :acc 0.8042 , nmi 0.5906 , ari 0.6086 , f1 0.6436
97Z :acc 0.6891 , nmi 0.3571 , ari 0.4004 , f1 0.6170
97P :acc 0.7785 , nmi 0.5706 , ari 0.5788 , f1 0.6513
98Q :acc 0.8043 , nmi 0.5912 , ari 0.6090 , f1 0.6437
98Z :acc 0.6886 , nmi 0.3572 , ari 0.4003 , f1 0.6165
98P :acc 0.7784 , nmi 0.5707 , ari 0.5787 , f1 0.6513
99Q :acc 0.8040 , nmi 0.5909 , ari 0.6087 , f1 0.6436
99Z :acc 0.6888 , nmi 0.3574 , ari 0.4005 , f1 0.6168
99P :acc 0.7783 , nmi 0.5707 , ari 0.5786 , f1 0.6513
100Q :acc 0.8041 , nmi 0.5910 , ari 0.6089 , f1 0.6437
100Z :acc 0.6889 , nmi 0.3582 , ari 0.4011 , f1 0.6171
100P :acc 0.7781 , nmi 0.5707 , ari 0.5784 , f1 0.6512
101Q :acc 0.8039 , nmi 0.5908 , ari 0.6090 , f1 0.6436
101Z :acc 0.6891 , nmi 0.3588 , ari 0.4016 , f1 0.6176
101P :acc 0.7783 , nmi 0.5711 , ari 0.5786 , f1 0.6516
102Q :acc 0.8037 , nmi 0.5904 , ari 0.6088 , f1 0.6436
102Z :acc 0.6896 , nmi 0.3597 , ari 0.4025 , f1 0.6182
102P :acc 0.7785 , nmi 0.5718 , ari 0.5792 , f1 0.6518
103Q :acc 0.8034 , nmi 0.5899 , ari 0.6085 , f1 0.6434
103Z :acc 0.6897 , nmi 0.3601 , ari 0.4030 , f1 0.6185
103P :acc 0.7782 , nmi 0.5716 , ari 0.5788 , f1 0.6517
104Q :acc 0.8030 , nmi 0.5891 , ari 0.6082 , f1 0.6432
104Z :acc 0.6895 , nmi 0.3597 , ari 0.4028 , f1 0.6183
104P :acc 0.7780 , nmi 0.5717 , ari 0.5786 , f1 0.6516
105Q :acc 0.8030 , nmi 0.5894 , ari 0.6083 , f1 0.6433
105Z :acc 0.6892 , nmi 0.3595 , ari 0.4024 , f1 0.6182
105P :acc 0.7780 , nmi 0.5720 , ari 0.5788 , f1 0.6516
106Q :acc 0.8027 , nmi 0.5889 , ari 0.6079 , f1 0.6431
106Z :acc 0.6896 , nmi 0.3603 , ari 0.4032 , f1 0.6188
106P :acc 0.7779 , nmi 0.5721 , ari 0.5789 , f1 0.6516
107Q :acc 0.8027 , nmi 0.5890 , ari 0.6080 , f1 0.6431
107Z :acc 0.6902 , nmi 0.3610 , ari 0.4036 , f1 0.6199
107P :acc 0.7779 , nmi 0.5721 , ari 0.5790 , f1 0.6516
108Q :acc 0.8026 , nmi 0.5890 , ari 0.6080 , f1 0.6431
108Z :acc 0.6903 , nmi 0.3613 , ari 0.4036 , f1 0.6201
108P :acc 0.7780 , nmi 0.5722 , ari 0.5791 , f1 0.6520
109Q :acc 0.8026 , nmi 0.5891 , ari 0.6081 , f1 0.6432
109Z :acc 0.6908 , nmi 0.3622 , ari 0.4045 , f1 0.6208
109P :acc 0.7777 , nmi 0.5718 , ari 0.5786 , f1 0.6518
110Q :acc 0.8026 , nmi 0.5890 , ari 0.6082 , f1 0.6432
110Z :acc 0.6909 , nmi 0.3625 , ari 0.4044 , f1 0.6213
110P :acc 0.7776 , nmi 0.5717 , ari 0.5784 , f1 0.6517
111Q :acc 0.8024 , nmi 0.5889 , ari 0.6081 , f1 0.6431
111Z :acc 0.6912 , nmi 0.3633 , ari 0.4052 , f1 0.6219
111P :acc 0.7775 , nmi 0.5721 , ari 0.5784 , f1 0.6517
112Q :acc 0.8021 , nmi 0.5884 , ari 0.6077 , f1 0.6430
112Z :acc 0.6914 , nmi 0.3635 , ari 0.4055 , f1 0.6217
112P :acc 0.7773 , nmi 0.5718 , ari 0.5782 , f1 0.6516
113Q :acc 0.8021 , nmi 0.5889 , ari 0.6078 , f1 0.6430
