102Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
102Z :acc 0.6540 , nmi 0.3853 , ari 0.3939 , f1 0.6197
102P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
103Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
103Z :acc 0.6504 , nmi 0.3842 , ari 0.3905 , f1 0.6159
103P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
104Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
104Z :acc 0.6546 , nmi 0.3841 , ari 0.3952 , f1 0.6206
104P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
105Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
105Z :acc 0.6477 , nmi 0.3821 , ari 0.3858 , f1 0.6144
105P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
106Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
106Z :acc 0.6583 , nmi 0.3862 , ari 0.3993 , f1 0.6231
106P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
107Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
107Z :acc 0.6480 , nmi 0.3825 , ari 0.3884 , f1 0.6142
107P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
108Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
108Z :acc 0.6589 , nmi 0.3884 , ari 0.3994 , f1 0.6231
108P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
109Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
109Z :acc 0.6489 , nmi 0.3830 , ari 0.3898 , f1 0.6147
109P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
110Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
110Z :acc 0.6552 , nmi 0.3865 , ari 0.3953 , f1 0.6213
110P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
111Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
111Z :acc 0.6501 , nmi 0.3817 , ari 0.3903 , f1 0.6156
111P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
112Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
112Z :acc 0.6555 , nmi 0.3874 , ari 0.3962 , f1 0.6221
112P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
113Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
113Z :acc 0.6465 , nmi 0.3796 , ari 0.3861 , f1 0.6119
113P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
114Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
114Z :acc 0.6570 , nmi 0.3851 , ari 0.3976 , f1 0.6219
114P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
115Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
115Z :acc 0.6456 , nmi 0.3803 , ari 0.3845 , f1 0.6116
115P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
116Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
116Z :acc 0.6570 , nmi 0.3848 , ari 0.3977 , f1 0.6219
116P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
