98P :acc 0.6810 , nmi 0.3457 , ari 0.3461 , f1 0.6833
99Q :acc 0.6786 , nmi 0.3435 , ari 0.3414 , f1 0.6813
99Z :acc 0.7030 , nmi 0.3704 , ari 0.3734 , f1 0.7038
99P :acc 0.6801 , nmi 0.3453 , ari 0.3452 , f1 0.6825
100Q :acc 0.6786 , nmi 0.3433 , ari 0.3414 , f1 0.6813
100Z :acc 0.7027 , nmi 0.3700 , ari 0.3737 , f1 0.7035
100P :acc 0.6796 , nmi 0.3449 , ari 0.3444 , f1 0.6820
101Q :acc 0.6778 , nmi 0.3421 , ari 0.3404 , f1 0.6805
101Z :acc 0.7022 , nmi 0.3689 , ari 0.3728 , f1 0.7031
101P :acc 0.6791 , nmi 0.3442 , ari 0.3440 , f1 0.6814
102Q :acc 0.6776 , nmi 0.3423 , ari 0.3407 , f1 0.6802
102Z :acc 0.7030 , nmi 0.3703 , ari 0.3742 , f1 0.7038
102P :acc 0.6793 , nmi 0.3449 , ari 0.3446 , f1 0.6817
103Q :acc 0.6771 , nmi 0.3417 , ari 0.3401 , f1 0.6796
103Z :acc 0.7042 , nmi 0.3721 , ari 0.3762 , f1 0.7051
103P :acc 0.6793 , nmi 0.3451 , ari 0.3448 , f1 0.6817
104Q :acc 0.6776 , nmi 0.3422 , ari 0.3409 , f1 0.6801
104Z :acc 0.7045 , nmi 0.3726 , ari 0.3767 , f1 0.7054
104P :acc 0.6786 , nmi 0.3442 , ari 0.3436 , f1 0.6811
105Q :acc 0.6776 , nmi 0.3424 , ari 0.3410 , f1 0.6801
105Z :acc 0.7037 , nmi 0.3722 , ari 0.3762 , f1 0.7046
105P :acc 0.6783 , nmi 0.3439 , ari 0.3432 , f1 0.6808
106Q :acc 0.6766 , nmi 0.3414 , ari 0.3400 , f1 0.6791
106Z :acc 0.7037 , nmi 0.3728 , ari 0.3766 , f1 0.7047
106P :acc 0.6786 , nmi 0.3442 , ari 0.3436 , f1 0.6811
107Q :acc 0.6764 , nmi 0.3410 , ari 0.3397 , f1 0.6788
107Z :acc 0.7037 , nmi 0.3729 , ari 0.3768 , f1 0.7047
107P :acc 0.6786 , nmi 0.3440 , ari 0.3437 , f1 0.6810
108Q :acc 0.6761 , nmi 0.3407 , ari 0.3395 , f1 0.6786
108Z :acc 0.7035 , nmi 0.3727 , ari 0.3766 , f1 0.7045
108P :acc 0.6786 , nmi 0.3440 , ari 0.3437 , f1 0.6810
109Q :acc 0.6764 , nmi 0.3410 , ari 0.3398 , f1 0.6789
109Z :acc 0.7042 , nmi 0.3742 , ari 0.3782 , f1 0.7053
109P :acc 0.6781 , nmi 0.3434 , ari 0.3431 , f1 0.6805
110Q :acc 0.6764 , nmi 0.3412 , ari 0.3398 , f1 0.6789
110Z :acc 0.7054 , nmi 0.3765 , ari 0.3804 , f1 0.7066
110P :acc 0.6778 , nmi 0.3433 , ari 0.3429 , f1 0.6802
111Q :acc 0.6764 , nmi 0.3410 , ari 0.3397 , f1 0.6789
111Z :acc 0.7062 , nmi 0.3761 , ari 0.3819 , f1 0.7071
111P :acc 0.6778 , nmi 0.3433 , ari 0.3429 , f1 0.6802
112Q :acc 0.6764 , nmi 0.3411 , ari 0.3396 , f1 0.6790
112Z :acc 0.7062 , nmi 0.3762 , ari 0.3819 , f1 0.7071
112P :acc 0.6778 , nmi 0.3431 , ari 0.3428 , f1 0.6803
113Q :acc 0.6761 , nmi 0.3408 , ari 0.3395 , f1 0.6787
113Z :acc 0.7069 , nmi 0.3780 , ari 0.3835 , f1 0.7079
113P :acc 0.6771 , nmi 0.3421 , ari 0.3419 , f1 0.6795
114Q :acc 0.6761 , nmi 0.3405 , ari 0.3392 , f1 0.6787
114Z :acc 0.7069 , nmi 0.3779 , ari 0.3836 , f1 0.7079
114P :acc 0.6766 , nmi 0.3416 , ari 0.3412 , f1 0.6790
115Q :acc 0.6761 , nmi 0.3406 , ari 0.3395 , f1 0.6787
115Z :acc 0.7067 , nmi 0.3780 , ari 0.3838 , f1 0.7076
115P :acc 0.6764 , nmi 0.3412 , ari 0.3409 , f1 0.6787
116Q :acc 0.6756 , nmi 0.3405 , ari 0.3393 , f1 0.6782
116Z :acc 0.7079 , nmi 0.3802 , ari 0.3861 , f1 0.7089
116P :acc 0.6766 , nmi 0.3417 , ari 0.3413 , f1 0.6790
117Q :acc 0.6756 , nmi 0.3404 , ari 0.3393 , f1 0.6781
